model,image,precision,recall,f1,mean_iou,true_pos,false_pos,false_neg
RGB-augment,img3061,0.9056603773584906,0.9230769230769231,0.9142857142857143,0.8317600026665076,48,5,4
RGB-augment,img3074,0.8095238095238095,0.9444444444444444,0.8717948717948718,0.7909975788550115,17,4,1
RGB-augment,img3085,0.8695652173913043,0.8333333333333334,0.851063829787234,0.8258520733259826,20,3,4
RGB-augment,img3095,0.7777777777777778,1.0,0.8750000000000001,0.8420614229871779,7,2,0
RGB-augment,img3103,0.7037037037037037,0.76,0.7307692307692308,0.8587999889334599,19,8,6
RGB-augment,img3106,0.8205128205128205,0.8421052631578947,0.8311688311688312,0.8512518489534328,32,7,6
RGB-augment,img3109,1.0,0.7857142857142857,0.88,0.8748794374141666,11,0,3
RGB-augment,img311,0.5,0.26666666666666666,0.3478260869565218,0.6415430719686946,4,4,11
RGB-augment,img3111,0.6666666666666666,0.5,0.5714285714285715,0.8396129820207868,6,3,6
RGB-augment,img3121,0.875,0.7777777777777778,0.823529411764706,0.7841176415277147,21,3,6
RGB-augment,img3126,0.5,0.5714285714285714,0.5333333333333333,0.8581228088835791,8,8,6
RGB-augment,img3133,0.926829268292683,0.76,0.8351648351648352,0.8345215261081838,38,3,12
RGB-augment,img314,1.0,0.85,0.9189189189189189,0.761725597134441,17,0,3
RGB-augment,img3146,0.8372093023255814,0.9473684210526315,0.8888888888888888,0.8168666217147214,36,7,2
RGB-augment,img3156,0.8055555555555556,0.8529411764705882,0.8285714285714286,0.8180711680901144,29,7,5
RGB-augment,img3157,0.84,0.7241379310344828,0.7777777777777777,0.8615658166625666,21,4,8
RGB-augment,img3167,0.7407407407407407,0.6060606060606061,0.6666666666666666,0.769933288941993,20,7,13
RGB-augment,img3181,0.5769230769230769,0.7142857142857143,0.6382978723404256,0.8058059862951585,15,11,6
RGB-augment,img3185,0.8461538461538461,0.9361702127659575,0.8888888888888888,0.8822438466455789,44,8,3
RGB-augment,img3192,0.9,0.782608695652174,0.8372093023255814,0.812913050379148,18,2,5
RGB-augment,img3193,0.6470588235294118,0.6111111111111112,0.6285714285714287,0.7917440700438612,11,6,7
RGB-augment,img3198,1.0,0.7142857142857143,0.8333333333333333,0.810885829732699,5,0,2
RGB-augment,img32,0.75,0.75,0.75,0.7945459165730256,6,2,2
RGB-augment,img3207,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.8298333903415246,27,2,2
RGB-augment,img3209,0.7555555555555555,0.723404255319149,0.7391304347826088,0.8181877498661481,34,11,13
RGB-augment,img321,0.8,0.8333333333333334,0.816326530612245,0.858291473673115,20,5,4
RGB-augment,img3214,0.8793103448275862,0.75,0.8095238095238094,0.7973661264320554,51,7,17
RGB-augment,img3220,0.9130434782608695,0.8936170212765957,0.9032258064516129,0.8810685159125562,42,4,5
RGB-augment,img3223,0.8732394366197183,0.9393939393939394,0.9051094890510948,0.8480584513142125,62,9,4
RGB-augment,img3226,0.9285714285714286,0.9069767441860465,0.9176470588235294,0.8790378074510806,39,3,4
RGB-augment,img323,0.0,0.0,0.0,0.0,0,0,1
RGB-augment,img3232,0.967741935483871,0.9090909090909091,0.9374999999999999,0.8716881218743509,30,1,3
RGB-augment,img3234,0.9444444444444444,0.8292682926829268,0.883116883116883,0.8493301149806993,34,2,7
RGB-augment,img3240,0.6181818181818182,0.7083333333333334,0.6601941747572815,0.8018500936597394,34,21,14
RGB-augment,img3245,0.6538461538461539,0.7727272727272727,0.7083333333333333,0.753407552321733,17,9,5
RGB-augment,img3248,0.5714285714285714,1.0,0.7272727272727273,0.8417533725853764,4,3,0
RGB-augment,img3250,1.0,0.5,0.6666666666666666,0.9435730354086062,1,0,1
RGB-augment,img3252,0.7021276595744681,0.75,0.7252747252747254,0.7982046437900676,33,14,11
RGB-augment,img3259,0.5405405405405406,0.5882352941176471,0.5633802816901409,0.782000635927581,20,17,14
RGB-augment,img3263,0.8863636363636364,0.9069767441860465,0.896551724137931,0.8258121196392222,39,5,4
RGB-augment,img327,1.0,1.0,1.0,0.8616588350407587,19,0,0
RGB-augment,img3295,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.9214510332612872,11,4,3
RGB-augment,img3298,0.8571428571428571,0.75,0.7999999999999999,0.8571074036637301,42,7,14
RGB-augment,img3315,0.75,0.8333333333333334,0.7894736842105262,0.8092087558451297,30,10,6
RGB-augment,img3325,0.7,0.7,0.7,0.8353651667852355,7,3,3
RGB-augment,img3331,0.5909090909090909,0.7878787878787878,0.6753246753246752,0.8189304146781594,26,18,7
RGB-augment,img3332,1.0,0.9142857142857143,0.955223880597015,0.8362557386055645,32,0,3
RGB-augment,img3334,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.8467835499246905,39,2,2
RGB-augment,img3343,0.96,0.96,0.96,0.8308367480845064,24,1,1
RGB-augment,img3344,0.7,0.875,0.7777777777777777,0.8521631700328325,7,3,1
RGB-augment,img3347,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.797853051697052,22,7,7
RGB-augment,img3352,0.7647058823529411,0.7647058823529411,0.7647058823529412,0.785181195377691,13,4,4
RGB-augment,img3353,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.7855411546004742,10,4,2
RGB-augment,img3368,0.9298245614035088,0.828125,0.8760330578512396,0.8108052403288518,53,4,11
RGB-augment,img339,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.8521664981562637,44,2,2
RGB-augment,img3390,0.9230769230769231,0.8780487804878049,0.9,0.8226556181929585,36,3,5
