image,precision,recall,f1,mean_iou,true_pos,false_pos,false_neg,model
img4684,0.5454545454545454,0.75,0.631578947368421,0.8875219832578561,6,5,2,RGB-augment
img469,0.875,0.7567567567567568,0.8115942028985507,0.8086922388970571,28,4,9,RGB-augment
img4694,0.7142857142857143,0.7894736842105263,0.7500000000000001,0.807019512160408,15,6,4,RGB-augment
img4701,0.5,1.0,0.6666666666666666,0.8934551697047436,3,3,0,RGB-augment
img4703,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.838561099739589,33,3,9,RGB-augment
img4706,0.873015873015873,0.7432432432432432,0.8029197080291971,0.8022665450759316,55,8,19,RGB-augment
img4728,0.7,0.5384615384615384,0.608695652173913,0.8131496182448356,7,3,6,RGB-augment
img4755,0.9285714285714286,1.0,0.962962962962963,0.8424760783139676,13,1,0,RGB-augment
img4777,0.8676470588235294,0.8194444444444444,0.8428571428571429,0.8425928875526314,59,9,13,RGB-augment
img4785,0.8125,0.7222222222222222,0.7647058823529411,0.7590565341778994,39,9,15,RGB-augment
img4786,0.8035714285714286,0.8653846153846154,0.8333333333333334,0.7947232424024102,45,11,7,RGB-augment
img4797,1.0,0.6666666666666666,0.8,0.7889901809018222,2,0,1,RGB-augment
img4800,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.7651037813763127,9,5,5,RGB-augment
img4809,0.45454545454545453,0.8064516129032258,0.5813953488372092,0.7603327953367583,25,30,6,RGB-augment
img481,0.0,0.0,0.0,0.0,0,0,0,RGB-augment
img4810,0.3,0.5,0.37499999999999994,0.7928893023061304,3,7,3,RGB-augment
img482,0.0,0.0,0.0,0.0,0,0,0,RGB-augment
img4821,0.6666666666666666,0.8,0.7272727272727272,0.9057776571953902,4,2,1,RGB-augment
img4827,1.0,0.9545454545454546,0.9767441860465117,0.8879700165638437,42,0,2,RGB-augment
img4828,0.6666666666666666,1.0,0.8,0.8242660344788469,4,2,0,RGB-augment
img483,0.38461538461538464,0.3333333333333333,0.3571428571428571,0.6996469699644565,5,8,10,RGB-augment
img4840,0.94,0.9791666666666666,0.9591836734693877,0.882116438084948,47,3,1,RGB-augment
img4844,0.96,0.96,0.96,0.8804050732414453,48,2,2,RGB-augment
img4847,0.5,0.7777777777777778,0.6086956521739131,0.7910457341388105,7,7,2,RGB-augment
img485,0.0,0.0,0.0,0.0,0,0,0,RGB-augment
img4857,0.9285714285714286,0.7358490566037735,0.8210526315789474,0.8144107579702743,39,3,14,RGB-augment
img4863,0.8181818181818182,0.84375,0.8307692307692308,0.840133585408268,27,6,5,RGB-augment
img4865,0.8125,0.8387096774193549,0.8253968253968254,0.8421842430124453,26,6,5,RGB-augment
img4866,0.5714285714285714,0.64,0.6037735849056605,0.7941866551619747,16,12,9,RGB-augment
img4869,0.6875,0.7586206896551724,0.7213114754098361,0.8272025098554591,22,10,7,RGB-augment
img4871,0.75,0.782608695652174,0.7659574468085107,0.8224551665509353,18,6,5,RGB-augment
img4899,0.0,0.0,0.0,0.0,0,0,0,RGB-augment
img490,1.0,0.875,0.9333333333333333,0.8245035391914054,7,0,1,RGB-augment
img4904,0.7777777777777778,1.0,0.8750000000000001,0.7113988874755676,7,2,0,RGB-augment
img4906,0.9814814814814815,0.9464285714285714,0.9636363636363636,0.8706793278295588,53,1,3,RGB-augment
img4922,0.9230769230769231,0.8888888888888888,0.9056603773584906,0.8799653704635055,48,4,6,RGB-augment
img4925,0.25,0.42857142857142855,0.3157894736842105,0.8868014761360316,3,9,4,RGB-augment
img4928,0.47619047619047616,0.5555555555555556,0.5128205128205129,0.8116934634126428,10,11,8,RGB-augment
img4932,0.8571428571428571,0.75,0.7999999999999999,0.9258036213837416,6,1,2,RGB-augment
img4933,0.6086956521739131,0.6363636363636364,0.6222222222222223,0.7674615201198483,14,9,8,RGB-augment
img4940,0.8571428571428571,0.7272727272727273,0.7868852459016394,0.8387097056021378,24,4,9,RGB-augment
img4942,0.8787878787878788,0.7435897435897436,0.8055555555555556,0.8208833738198913,29,4,10,RGB-augment
img4947,0.7777777777777778,0.75,0.7636363636363638,0.8351827200689532,21,6,7,RGB-augment
img4948,0.72,0.5454545454545454,0.6206896551724138,0.7542224420519775,18,7,15,RGB-augment
img4972,0.0,0.0,0.0,0.0,0,0,1,RGB-augment
img4981,0.9285714285714286,0.8863636363636364,0.9069767441860465,0.8592761063693678,39,3,5,RGB-augment
img4984,0.8823529411764706,0.8333333333333334,0.8571428571428571,0.8726875944459594,45,6,9,RGB-augment
img4986,0.975,0.975,0.975,0.8670184103612595,39,1,1,RGB-augment
img4992,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8937099905785856,25,3,3,RGB-augment
img5007,0.5,0.4,0.4444444444444445,0.8218945690515211,2,2,3,RGB-augment
img5015,0.868421052631579,0.9166666666666666,0.8918918918918918,0.8251377046910209,33,5,3,RGB-augment
img5019,0.9111111111111111,0.8541666666666666,0.8817204301075269,0.8397147382839579,41,4,7,RGB-augment
img5026,0.6153846153846154,0.8888888888888888,0.7272727272727274,0.8484875974156614,8,5,1,RGB-augment
img5037,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7458504231621568,6,3,3,RGB-augment
img5047,0.0,0.0,0.0,0.0,0,0,0,RGB-augment
img505,0.8888888888888888,0.9142857142857143,0.9014084507042254,0.8693214389280894,32,4,3,RGB-augment
img5050,0.0,0.0,0.0,0.0,0,2,0,RGB-augment
img5051,0.0,0.0,0.0,0.0,0,0,0,RGB-augment
img5055,0.0,0.0,0.0,0.0,0,0,0,RGB-augment
img5059,0.9375,0.7894736842105263,0.8571428571428572,0.8773729298423096,15,1,4,RGB-augment
img506,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8753574641441185,28,2,2,RGB-augment
img5063,0.9545454545454546,0.8936170212765957,0.9230769230769231,0.8970813160408182,42,2,5,RGB-augment
img5069,0.9166666666666666,0.9428571428571428,0.9295774647887323,0.8703674375596857,33,3,2,RGB-augment
img507,0.9090909090909091,0.8,0.8510638297872342,0.8914264976533067,20,2,5,RGB-augment
img5079,0.925,0.8604651162790697,0.891566265060241,0.9093444426242446,37,3,6,RGB-augment
img5083,1.0,1.0,1.0,0.8191497721137189,1,0,0,RGB-augment
img5091,0.6363636363636364,0.7777777777777778,0.7000000000000001,0.8311779834259317,7,4,2,RGB-augment
img5094,0.7307692307692307,0.8837209302325582,0.8,0.8541006303173716,38,14,5,RGB-augment
img5095,0.75,0.72,0.7346938775510204,0.9007995993223427,36,12,14,RGB-augment
img5107,0.391304347826087,0.36,0.37499999999999994,0.7521796218339476,9,14,16,RGB-augment
img511,0.9622641509433962,1.0,0.9807692307692307,0.8312949195062643,51,2,0,RGB-augment
img5111,0.875,0.8235294117647058,0.8484848484848485,0.7838619828259316,14,2,3,RGB-augment
img5113,0.0,0.0,0.0,0.0,0,0,0,RGB-augment
img5115,1.0,0.8,0.888888888888889,0.7766323120636004,4,0,1,RGB-augment
img5119,0.8571428571428571,0.7619047619047619,0.8067226890756302,0.8098511326518741,48,8,15,RGB-augment
img5123,0.9736842105263158,0.925,0.9487179487179489,0.8814139925635545,37,1,3,RGB-augment
img5125,0.6666666666666666,0.7692307692307693,0.7142857142857142,0.8364574325251528,10,5,3,RGB-augment
img5131,0.0,0.0,0.0,0.0,0,0,0,RGB-augment
img5134,0.0,0.0,0.0,0.0,0,0,0,RGB-augment
img5140,0.9166666666666666,0.8918918918918919,0.9041095890410958,0.8478904387885552,33,3,4,RGB-augment
img5143,0.4444444444444444,0.5,0.47058823529411764,0.7779685937479768,4,5,4,RGB-augment
img5154,1.0,1.0,1.0,0.8354173950049829,11,0,0,RGB-augment
img5163,0.5714285714285714,0.4,0.47058823529411764,0.871176322367994,4,3,6,RGB-augment
img5167,0.8,0.8,0.8000000000000002,0.9075443466713938,4,1,1,RGB-augment
img517,0.8846153846153846,0.92,0.9019607843137256,0.8638949069093458,23,3,2,RGB-augment
img5173,0.6538461538461539,0.7391304347826086,0.693877551020408,0.8414854795416081,17,9,6,RGB-augment
img5179,0.9,0.9310344827586207,0.9152542372881356,0.856466796520682,27,3,2,RGB-augment
img5182,0.8421052631578947,0.7619047619047619,0.8,0.8216615053280832,16,3,5,RGB-augment
img5183,1.0,0.8181818181818182,0.9,0.8417631787979393,9,0,2,RGB-augment
img5184,0.7142857142857143,0.75,0.7317073170731706,0.8009020245992394,15,6,5,RGB-augment
img5186,0.7307692307692307,0.76,0.7450980392156863,0.8018784379049331,19,7,6,RGB-augment
img5198,0.96,0.8571428571428571,0.9056603773584904,0.8326206082368023,24,1,4,RGB-augment
img5208,0.875,0.875,0.875,0.8531434715903669,14,2,2,RGB-augment
img5209,0.25,0.2,0.22222222222222224,0.9661559683766978,1,3,4,RGB-augment
img5226,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.8271690292781974,22,8,8,RGB-augment
img5230,0.5,1.0,0.6666666666666666,0.9309335430539886,1,1,0,RGB-augment
img5244,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.8778555215014503,5,1,2,RGB-augment
img5245,1.0,0.7142857142857143,0.8333333333333333,0.8393544576098453,5,0,2,RGB-augment
img526,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8073255757137084,11,3,3,RGB-augment
img5260,0.8620689655172413,0.6756756756756757,0.7575757575757576,0.8331603230892949,25,4,12,RGB-augment
img5261,0.8518518518518519,0.8846153846153846,0.8679245283018868,0.8172434462688112,23,4,3,RGB-augment
img5262,0.9,0.8181818181818182,0.8571428571428572,0.7638120522873985,18,2,4,RGB-augment
img5283,0.9722222222222222,0.9210526315789473,0.9459459459459458,0.8643232670799224,35,1,3,RGB-augment
