image,precision,recall,f1,mean_iou,true_pos,false_pos,false_neg,model
img3618,0.8541666666666666,0.6949152542372882,0.7663551401869159,0.8424337554346091,41,7,18,RGB-origin
img3619,0.7948717948717948,0.775,0.7848101265822786,0.7997448366381845,31,8,9,RGB-origin
img3626,0.7272727272727273,0.6,0.6575342465753425,0.8001662816149385,24,9,16,RGB-origin
img3631,0.9591836734693877,0.9215686274509803,0.9400000000000001,0.8793433493253342,47,2,4,RGB-origin
img3638,0.7931034482758621,0.696969696969697,0.7419354838709677,0.8203066967560801,23,6,10,RGB-origin
img3639,0.7894736842105263,0.6976744186046512,0.7407407407407408,0.8065016581506762,30,8,13,RGB-origin
img364,1.0,1.0,1.0,0.8668714437459398,6,0,0,RGB-origin
img3644,0.8275862068965517,0.8571428571428571,0.8421052631578947,0.8044481079694181,24,5,4,RGB-origin
img3650,0.8775510204081632,0.8958333333333334,0.8865979381443299,0.865071647718538,43,6,5,RGB-origin
img3655,1.0,0.8947368421052632,0.9444444444444444,0.8606237629735783,17,0,2,RGB-origin
img3656,0.8333333333333334,0.75,0.7894736842105262,0.8484771030039574,15,3,5,RGB-origin
img3671,0.9722222222222222,0.9210526315789473,0.9459459459459458,0.8323195518277146,35,1,3,RGB-origin
img3674,0.7692307692307693,0.6666666666666666,0.7142857142857142,0.8299388630793322,30,9,15,RGB-origin
img3675,0.78125,0.6756756756756757,0.7246376811594203,0.8542191723634387,25,7,12,RGB-origin
img3679,0.9090909090909091,0.9302325581395349,0.9195402298850575,0.8894197524965801,40,4,3,RGB-origin
img368,0.9393939393939394,0.8611111111111112,0.8985507246376813,0.8426650834124979,31,2,5,RGB-origin
img3702,0.65,0.5652173913043478,0.6046511627906976,0.8100061657938856,13,7,10,RGB-origin
